doi,family,title,year,score,is_benchmark,is_oa_heuristic,has_table,has_sigma,has_ea,has_impedance
10.3389/fenrg.2016.00028,oxide,Development of Lithium-Stuffed Garnet-Type Oxide Solid Electrolytes with High Ionic Conductivity for Application to All-Solid-State Batteries,2016,11.0,True,True,,,,
10.3389/fenrg.2016.00028,oxide,Development of Lithium-Stuffed Garnet-Type Oxide Solid Electrolytes with High Ionic Conductivity for Application to All-Solid-State Batteries,2016,11.0,True,True,,,,
10.3390/ma13030560,sulfide,Submicron-Sized Nb-Doped Lithium Garnet for High Ionic Conductivity Solid Electrolyte and Performance of Quasi-Solid-State Lithium Battery,2020,11.0,True,True,,,,
10.3390/ma13030560,oxide,Submicron-Sized Nb-Doped Lithium Garnet for High Ionic Conductivity Solid Electrolyte and Performance of Quasi-Solid-State Lithium Battery,2020,11.0,True,True,,,,
10.3390/ma13030560,garnet,Submicron-Sized Nb-Doped Lithium Garnet for High Ionic Conductivity Solid Electrolyte and Performance of Quasi-Solid-State Lithium Battery,2020,11.0,True,True,,,,
10.1080/15567036.2023.2275710,antiperovskite,Investigating the amount of water on reducing Lix(OH)yClz hydroxide phases in the synthesis of Li3OCl anti-perovskite as a solid electrolyte in Li-ion batteries,2023,11.0,True,True,,,,
10.1126/sciadv.abj7698,sulfide,Enhancing ionic conductivity in solid electrolyte by relocating diffusion ions to under-coordination sites,2022,10.0,True,True,,,,
10.3390/nano12244355,sulfide,Cl- and Al-Doped Argyrodite Solid Electrolyte Li6PS5Cl for All-Solid-State Lithium Batteries with Improved Ionic Conductivity,2022,10.0,True,True,,,,
10.3390/nano12244355,argyrodite,Cl- and Al-Doped Argyrodite Solid Electrolyte Li6PS5Cl for All-Solid-State Lithium Batteries with Improved Ionic Conductivity,2022,10.0,True,True,,,,
10.3390/ELECTROCHEM2030026,garnet,Crystal Structure and Preparation of Li7La3Zr2O12 (LLZO) Solid-State Electrolyte and Doping Impacts on the Conductivity: An Overview,2021,10.0,True,True,,,,
10.3390/ELECTROCHEM2030026,garnet,Crystal Structure and Preparation of Li7La3Zr2O12 (LLZO) Solid-State Electrolyte and Doping Impacts on the Conductivity: An Overview,2021,10.0,True,True,,,,
10.3390/ma17153846,nasicon,The Impact of Boron Compounds on the Structure and Ionic Conductivity of LATP Solid Electrolytes,2024,10.0,True,True,,,,
